category_final,operations,amount,counterparties,needs_review_amount,share_of_debit,share_of_operating_inflow
Закупки для производства,321,29804202.6,14,22213520.4,0.6921818150699729,0.6935575521117757
Аренда и коммунальные платежи,56,4642628.93,6,4130926.5,0.10782181837214345,0.10803611823703387
Упаковка и расходники,50,3252205.74,5,2306124.59,0.07553020969244735,0.07568032878686264
Персонал,106,2971955.0,6,1683827.0,0.06902158174855116,0.06915876470341643
"Налоги, взносы, штрафы",66,1156005.0,2,170000.0,0.02684740973844957,0.02690076996151453
Профессиональные услуги,36,783500.6,3,734000.0,0.018196254893811947,0.018232420625610278
Кредиты и займы,3,234479.94,1,198479.94,0.005445633041922026,0.005456456439660494
"Связь, сервисы и подписки",41,144464.48,4,0.0,0.0033550867748946187,0.0033617551343547965
Вывод собственников,1,35000.0,1,0.0,0.0008128505852878967,0.0008144661559880869
Банковские комиссии и эквайринг,64,28108.26,2,0.0,0.000652794731212125,0.0006540921849632487
Неизвестно / требуется проверка,1,5793.3,1,5793.3,0.00013454535130709634,0.00013481276518530812
