month,Аренда и коммунальные платежи,Банковские комиссии и эквайринг,Вывод собственников,Закупки для производства,Кредиты и займы,"Налоги, взносы, штрафы",Неизвестно / требуется проверка,Персонал,Профессиональные услуги,"Связь, сервисы и подписки",Упаковка и расходники
2025-05,134860.04,2346.4,35000.0,429675.0,0.0,215010.0,0.0,206025.0,900.6,26832.48,20000.5
2025-06,55000.54,1690.0,0.0,595450.0,0.0,106020.0,0.0,33125.0,0.0,12000.0,195261.5
2025-07,422800.0,1690.0,0.0,1019880.0,0.0,100025.0,0.0,127265.0,0.0,16022.0,275274.58999999997
2025-08,353498.11,1690.0,0.0,2726422.0,0.0,80000.0,0.0,218584.0,0.0,9986.0,354145.5
2025-09,345366.57,1785.85,0.0,3238350.0,0.0,30000.0,0.0,246300.0,0.0,1250.0,0.0
2025-10,382524.32,1978.49,0.0,4453057.8,0.0,175000.0,0.0,249343.0,0.0,15131.0,338168.0
2025-11,397684.03,1943.28,0.0,4220134.8,0.0,27250.0,0.0,249580.0,62000.0,14762.0,409822.5
2025-12,762877.67,4041.8599999999997,0.0,3157907.8,0.0,154200.0,0.0,674241.0,150000.0,8631.0,410255.15
2026-01,431973.17,1932.78,0.0,1705841.2,0.0,28000.0,0.0,128155.0,120000.0,6441.0,91840.0
2026-02,428197.74,2042.98,0.0,2604300.0,0.0,30000.0,0.0,280076.0,140000.0,12693.0,0.0
2026-03,491077.02,2336.42,0.0,2347884.0,36000.0,40500.0,5793.3,279803.0,143000.0,6390.0,915238.0
2026-04,418769.72,2940.2,0.0,2662000.0,99239.97,80000.0,0.0,279458.0,147600.0,14326.0,212200.0
2026-05,18000.0,1690.0,0.0,643300.0,99239.97,90000.0,0.0,0.0,20000.0,0.0,30000.0
